text,label
"I loved this film",1
"Terrible acting and a weak plot",0
"Surprisingly good",1
"That was bad",0
"Not my cup of tea",0
"Absolutely brilliant from start to finish",1
"Utter rubbish, I almost walked out",0
"Decent story and lovely soundtrack",1
"Boring and far too long",0
"The cast were fantastic",1
"The dialogue was cringeworthy",0
"Exceeded my expectations",1
"I would not recommend it",0
"A charming, feel-good watch",1
"Confusing plot and poor pacing",0
"Kept me on the edge of my seat",1
"Predictable with no surprises",0
"Beautifully shot and well acted",1
"The jokes fell flat",0
"An instant favourite",1
"Disappointing ending",0
"Heartwarming and uplifting",1
"I hated every minute of it",0
"A masterpiece of storytelling",1
"Weak character development",0
"Clever, funny, and original",1
"Not worth the hype",0
"Loved the cinematography and score",1
"Script was sloppy and unfunny",0
"Engaging from beginning to end",1
"I fell asleep halfway through",0
"Smart dialogue and great pacing",1
"Plot holes ruined the experience",0
"An emotional rollercoaster",1
"Flat performances across the board",0
"One of the best films this year",1
"I regret watching it",0
"Stellar performances and a tight script",1
"Mediocre at best",0
"A fresh take on an old genre",1
"A waste of time",0
"Remarkable direction and acting",1
"The movie felt unfinished",0
"A true cinematic gem",1
"Predictable and dull",0
"Genuinely moved me",1
"Poorly edited and choppy",0
"Outstanding from the first scene",1
"Terrible soundtrack and pacing",0
"An inspiring story well told",1
"I couldn't stand the lead actor",0
"Beautiful, poignant, and memorable",1
"The jokes were offensive",0
"A delight to watch",1
"Not engaging or interesting",0
"I love this movie, it was fantastic and inspiring!",1
"The service was terrible and the food was awful.",0
